#Metric	Minimum	Maximum
TOTAL_READS	1200000	.
ALIGNED_READS	1100000	.
PERCENT_ALIGNED_READS	98	.
ONTARGET_READS	1000000	.
PERCENT_ONTARGET_READS	75	.
CONDENSED_ONTARGET_READS	600000	.
PERCENT_CONDENSED_ONTARGET_READS	40	.
MEAN_READS_PER_UMI	0.8	2
MEDIAN_READS_PER_UMI	.	.
PERCENT_UMI_COVERAGE_1x	.	.
PERCENT_UMI_COVERAGE_2x	.	.
PERCENT_UMI_COVERAGE_3x	.	.
PERCENT_UMI_COVERAGE_OVER_4x	.	.
MEAN_READ_PAIRS_PER_AMPLICON	40	.
MEDIAN_READ_PAIRS_PER_AMPLICON	.	.
PERCENT_AMPLICON_COVERAGE_0x	.	0.01
PERCENT_AMPLICON_COVERAGE_10x	75	.
PERCENT_AMPLICON_COVERAGE_50x	65	.
PERCENT_AMPLICON_COVERAGE_100x	.	.
FAILED_HOTSPOTQC	.	0
PASSED_HOTSPOTQC	24	.
MEAN_UNIQUE_COVERAGE	600	.
MEDIAN_UNIQUE_COVERAGE	600	.
MEAN_RAW_COVERAGE	.	.
MEDIAN_RAW_COVERAGE	.	.
PERCENT_UNIQUE_COVERAGE_50x	95	.
PERCENT_UNIQUE_COVERAGE_100x	85	.
PERCENT_UNIQUE_COVERAGE_200x	70	.
MEAN_TARGET_COVERAGE	300	.
PERCENT_TARGET_COVERAGE_50x	95	.
HAPLOTECT_SITES		2	.
HAPLOTECT_CONTAM		0.01	.
